,sp_name,鲜重（g）,干重（g),厚度(mm),叶面积(cm2),叶片数,LDMC,SLA,土壤鲜重(g),土壤干重(g),土壤含水率（%）,土壤电导率
固定沙丘,白刺,0.28,0.06,0.552,1.527,20,21.42857143,25.45,48.21,47.456,1.202583,0.21
固定沙丘,白刺,0.42,0.09,0.67,3.668,20,21.42857143,40.75555556,48.21,47.456,1.202583,0.21
固定沙丘,白刺,0.34,0.09,0.5115,2.19672,20,26.47058824,24.408,48.21,47.456,1.202583,0.21
固定沙丘,白刺,0.43,0.13,0.5845,1.7001,20,30.23255814,13.07769231,48.21,47.456,1.202583,0.21
固定沙丘,白刺,0.39,0.15,0.4335,3.6787,20,38.46153846,24.52466667,48.21,47.456,1.202583,0.21
固定沙丘,梭梭,0.24,0.07,0.693,0.347,10,29.16666667,4.957142857,48.21,47.456,1.202583,0.21
固定沙丘,梭梭,0.41,0.09,0.8616,0.608,10,21.95121951,6.755555556,48.21,47.456,1.202583,0.21
固定沙丘,梭梭,0.27,0.08,0.8509,0.477,10,29.62962963,5.9625,48.21,47.456,1.202583,0.21
固定沙丘,梭梭,0.19,0.06,0.7669,0.369,10,31.57894737,6.15,48.21,47.456,1.202583,0.21
固定沙丘,梭梭,0.26,0.07,0.8607,0.351,10,26.92307692,5.014285714,48.21,47.456,1.202583,0.21
固定沙丘,柽柳,0.41,0.2,0.614,1.116,10,48.7804878,5.58,48.21,47.456,1.202583,0.21
固定沙丘,柽柳,0.3,0.14,0.589,0.699,10,46.66666667,4.992857143,48.21,47.456,1.202583,0.21
固定沙丘,柽柳,0.57,0.21,0.645,1.49,10,36.84210526,7.095238095,48.21,47.456,1.202583,0.21
固定沙丘,柽柳,0.25,0.12,0.455,0.998,10,48,8.316666667,48.21,47.456,1.202583,0.21
固定沙丘,柽柳,0.33,0.18,0.593,0.861,10,54.54545455,4.783333333,48.21,47.456,1.202583,0.21
路边,白刺,0.51,0.18,0.5075,0.463,20,35.29411765,2.572222222,38.188,36.495,3.884918,0.75
路边,白刺,0.53,0.13,0.516,0.473,20,24.52830189,3.638461538,38.188,36.495,3.884918,0.75
路边,白刺,0.27,0.09,0.4115,0.328,20,33.33333333,3.644444444,38.188,36.495,3.884918,0.75
路边,白刺,0.85,0.29,0.5915,0.771,20,34.11764706,2.65862069,38.188,36.495,3.884918,0.75
路边,白刺,0.67,0.17,0.4785,0.690 ,20,25.37313433,4.058823529,38.188,36.495,3.884918,0.75
路边,宁夏枸杞,1.03,0.26,0.4115,1.025,20,25.24271845,3.942307692,38.188,36.495,3.884918,0.75
路边,宁夏枸杞,1.33,0.42,0.5275,1.068,20,31.57894737,2.542857143,38.188,36.495,3.884918,0.75
路边,宁夏枸杞,1.24,0.42,0.4665,1.085,20,33.87096774,2.583333333,38.188,36.495,3.884918,0.75
路边,宁夏枸杞,0.96,0.39,0.477,0.878,20,40.625,2.251282051,38.188,36.495,3.884918,0.75
路边,宁夏枸杞,2.11,0.65,0.6595,1.501,20,30.8056872,2.309230769,38.188,36.495,3.884918,0.75
路边,甘草,1.42,0.4,0.174,3.773,20,28.16901408,9.4325,38.188,36.495,3.884918,0.75
路边,甘草,1.3,0.54,0.196,3.018,20,41.53846154,5.588888889,38.188,36.495,3.884918,0.75
路边,甘草,1.07,0.4,0.1725,2.455,20,37.38317757,6.1375,38.188,36.495,3.884918,0.75
路边,甘草,1.14,0.32,0.182,2.767,20,28.07017544,8.646875,38.188,36.495,3.884918,0.75
路边,甘草,1.06,0.32,0.193,2.611,20,30.18867925,8.159375,38.188,36.495,3.884918,0.75
路边,沙枣,2.41,0.85,0.3555,4.95,20,35.26970954,5.823529412,38.188,36.495,3.884918,0.75
路边,沙枣,1.96,0.81,0.3875,3.284,20,41.32653061,4.054320988,38.188,36.495,3.884918,0.75
路边,沙枣,2.89,1.53,0.35,5.362,20,52.94117647,3.504575163,38.188,36.495,3.884918,0.75
路边,沙枣,2.46,1.09,0.337,3.861,20,44.30894309,3.542201835,38.188,36.495,3.884918,0.75
路边,沙枣,2.41,1.18,0.2725,4.254,20,48.9626556,3.605084746,38.188,36.495,3.884918,0.75
路边,灰叶锦鸡儿,0.08,0.03,0.294,0.308,20,37.5,10.26666667,38.188,36.495,3.884918,0.75
路边,灰叶锦鸡儿,0.07,0.01,0.254,0.315,20,14.28571429,31.5,38.188,36.495,3.884918,0.75
路边,灰叶锦鸡儿,0.13,0.03,0.2995,0.89,20,23.07692308,29.66666667,38.188,36.495,3.884918,0.75
路边,灰叶锦鸡儿,0.07,0.01,0.274,0.339,20,14.28571429,33.9,38.188,36.495,3.884918,0.75
路边,灰叶锦鸡儿,0.05,0.01,0.303,0.164,20,20,16.4,38.188,36.495,3.884918,0.75
路边,鹅绒藤,2.19,0.42,0.3125,3.262,20,19.17808219,7.766666667,38.188,36.495,3.884918,0.75
路边,鹅绒藤,2.37,0.52,0.319,3.383,20,21.94092827,6.505769231,38.188,36.495,3.884918,0.75
路边,鹅绒藤,2.83,0.61,0.3595,3.704,20,21.55477032,6.072131148,38.188,36.495,3.884918,0.75
路边,鹅绒藤,1.84,0.36,0.3875,2.323,20,19.56521739,6.452777778,38.188,36.495,3.884918,0.75
路边,鹅绒藤,1.68,0.28,0.257,3.482,20,16.66666667,12.43571429,38.188,36.495,3.884918,0.75
弃耕农田,盐生草,0.64,0.04,1.9326,0.203,20,6.25,5.075,33.894,32.182,3.630208,1.22
弃耕农田,盐生草,0.73,0.02,1.53075,0.242,20,2.739726027,12.1,33.894,32.182,3.630208,1.22
弃耕农田,盐生草,0.51,0.01,1.562,0.171,20,1.960784314,17.1,33.894,32.182,3.630208,1.22
弃耕农田,盐生草,0.5,0.01,1.7925,0.188,20,2,18.8,33.894,32.182,3.630208,1.22
弃耕农田,盐生草,0.56,0.01,1.697,0.193,20,1.785714286,19.3,33.894,32.182,3.630208,1.22
弃耕农田,砂引草,0.77,0.09,0.5225,0.830 ,20,11.68831169,9.222222222,33.894,32.182,3.630208,1.22
弃耕农田,砂引草,0.62,0.1,0.483,0.864,20,16.12903226,8.64,33.894,32.182,3.630208,1.22
弃耕农田,砂引草,0.65,0.1,0.4235,0.908,20,15.38461538,9.08,33.894,32.182,3.630208,1.22
弃耕农田,砂引草,0.84,0.14,0.5725,0.829,20,16.66666667,5.921428571,33.894,32.182,3.630208,1.22
弃耕农田,砂引草,1.06,0.14,0.543,1.024,20,13.20754717,7.314285714,33.894,32.182,3.630208,1.22
弃耕农田,骆驼蓬,0.28,0.07,0.61,0.306,20,25,4.371428571,33.894,32.182,3.630208,1.22
弃耕农田,骆驼蓬,0.35,0.07,0.6045,0.340 ,20,20,4.857142857,33.894,32.182,3.630208,1.22
弃耕农田,骆驼蓬,0.27,0.07,0.6195,0.295,20,25.92592593,4.214285714,33.894,32.182,3.630208,1.22
弃耕农田,骆驼蓬,0.29,0.03,0.5535,0.301,20,10.34482759,10.03333333,33.894,32.182,3.630208,1.22
弃耕农田,骆驼蓬,0.3,0.07,0.599,0.319,20,23.33333333,4.557142857,33.894,32.182,3.630208,1.22
